Name,RAobs,Decobs,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i,I,R,LD_cm,Lobs,L_1.4GHz,SFR (Msun/yr)
085632.99+595746.8,85632.98,595746.91,0.13,0.28300000000000003,54951.0,1685.3,35614,1068.6,0.648,25.1,16.835,-23.42,82.03,4.480575649289873e+27,25.141853092712196,25.6600280024684,26969.942100931206
085640.78+105755.8,85640.81,105756.0,0.49,0.27399999999999997,280.0,9.8,280,9.8,1.000,22.78,16.887999999999998,-23.3,0.44,4.3175908127251993e+27,22.816850857235604,23.33288570712889,126.980700559379
085828.69+342343.8,85828.74,342343.62,0.65,0.257,210.0,12.7,210,12.7,1.000,22.59,16.156,-23.89,0.17,4.013033928452887e+27,22.628374821795894,23.1403257664699,81.503785086072
090151.13+103020.4,90151.161,103020.02,0.6,0.201,67.0,12.2,67,12.2,1.000,21.86,15.991,-23.52,0.05,3.0413863396312813e+27,21.891427848683602,22.389524204159397,14.466924527623195
090454.99+511444.5,90454.978,511444.81,0.33,0.225,46.0,5.7,46,5.7,1.000,21.8,16.637,-23.12,0.06,3.4517513307388983e+27,21.8380466976128,22.342158209997002,12.9720980200611
090725.91+021521.1,90725.938,21520.36,0.85,0.273,35.1,5.6,35.1,5.6,1.000,21.87,17.090999999999998,-23.09,0.07,4.299555632419666e+27,21.911364125898,22.4271602587493,15.776558435590198
091702.11+212337.5,91702.107,212337.62,0.13,0.20199999999999999,4790.0,144.4,4790,144.4,1.000,23.72,16.689,-22.84,6.25,3.0582994661957986e+27,23.750505395278395,24.2488547729389,1046.42181419998
091928.69+143202.6,91928.09,143201.6,8.79,0.207,29050.0,886.1,265,60.5,0.009,24.52,16.845,-22.73,43.77,3.143108699764595e+27,24.557074802167396,25.0566861415293,6722.61365299449
092309.87+453046.4,92309.856,453046.59,0.24,0.292,86.0,6.3,86,6.3,1.000,22.33,17.747,-22.58,0.3,4.6447539132432934e+27,22.367633733861798,22.887933743716893,45.5812000890234
092837.98+602521.0,92837.98,602520.97,0.03,0.295,85650.0,5181.9,8943,268.8,0.104,25.34,17.0,-23.35,148.84,4.6997429219066544e+27,25.3760854362798,25.8970905244657,46552.449334093886
092909.79+464424.0,92909.808,464423.88,0.22,0.24,127.0,8.0,127,8.0,1.000,22.31,16.085,-23.82,0.1,3.7128736779110224e+27,22.342433932167506,22.850245362074798,41.7924059426487
093034.43+204416.6,93034.434,204416.87,0.28,0.243,58.0,5.4,58,5.4,1.000,21.98,16.533,-23.4,0.07,3.765519590123334e+27,22.014287680307397,22.5228337206503,19.6646278691945
093200.07+553347.4,93200.076,553347.31,0.1,0.266,5153.0,155.9,5153,155.9,1.000,24.01,17.312,-22.81,11.94,4.1737280610562565e+27,24.0523183049358,24.5664381492065,2174.1532891103698
093433.95+030645.1,93433.942,30645.48,0.4,0.297,71.0,4.4,71,4.4,1.000,22.26,17.680999999999994,-22.68,0.23,4.736474873828274e+27,22.3013786883231,22.8228529218757,39.2378256875584
093509.48+481910.2,93509.488,481909.9,0.31,0.22399999999999998,601.0,28.4,601,28.4,1.000,22.92,17.026,-22.73,1.07,3.4344690136873106e+27,22.9498035409406,23.4536667837011,167.694490879396
093653.84+533126.8,93653.834,533126.81,0.06,0.228,95.0,11.4,95,11.4,1.000,22.13,16.465,-23.32,0.1,3.5036931213046624e+27,22.165985590353,22.670840697410398,27.649845508109607
093913.53+171050.2,93913.574,171050.03,0.65,0.251,94.0,9.1,94,9.1,1.000,22.22,17.149,-22.85,0.19,3.906588248198229e+27,22.255932996196798,22.766429363276,34.4573103821898
094215.12+090015.8,94215.122,90016.04,0.24,0.213,1162.0,38.4,1162,38.4,1.000,23.15,16.788,-22.85,1.66,3.2454131205074905e+27,23.1869559672534,23.6880747781538,287.691340472627
094254.05+345133.1,94254.026,345133.13,0.3,0.278,155.0,11.9,155,11.9,1.000,22.54,17.594,-22.63,0.47,4.3898803310013073e+27,22.5744469250939,23.091434773063305,72.8260549867903
094305.15+280536.1,94305.149,280535.17,0.93,0.267,57.0,5.9,57,5.9,1.000,22.06,17.457,-22.68,0.15,4.191658439624948e+27,22.099856492918,22.6142163736302,24.269922262511702
094427.99+360837.1,94428.006,360837.57,0.51,0.228,94.0,8.6,94,8.6,1.000,22.13,17.03,-22.76,0.17,3.5036931213046624e+27,22.161389838663894,22.666244945721306,27.358794502764002
094603.94+013923.6,94603.95,13923.92,0.35,0.22,2471.0,76.1,2471,76.1,1.000,23.51,16.373,-23.34,2.41,3.3654983243848963e+27,23.5461813667565,24.049049498522606,660.5436321254911
094636.42+205610.9,94636.392,205611.03,0.42,0.28,110.0,9.6,110,9.6,1.000,22.39,17.320999999999998,-22.91,0.26,4.4261141118973264e+27,22.432647762185002,22.9501109912323,52.5972457398775
094859.47+433518.9,94859.483,433519.0,0.17,0.226,260.0,16.9,260,16.9,1.000,22.56,16.367,-23.4,0.25,3.469049467172402e+27,22.5946041974752,23.0989637768967,74.0995871924512
095048.38+392650.4,95048.392,392650.24,0.21,0.20600000000000002,155.0,11.0,155,11.0,1.000,22.25,15.952,-23.62,0.1,3.12611443822801e+27,22.2795513067316,22.778910672488298,35.4619557974391
095236.13+205143.5,95236.165,205144.44,1.06,0.276,18.1,5.3,18.1,5.3,1.000,21.6,17.615,-22.59,0.06,4.3537058491286777e+27,21.6346066055198,22.1511183278832,8.35545952031095
095302.64+380145.2,95302.723,380145.62,1.07,0.273,33.2,4.1,33.2,4.1,1.000,21.85,17.493,-22.69,0.09,4.299555632419666e+27,21.8871950931362,22.402991225987506,14.9225566969111
095407.02+212235.9,95407.025,212235.97,0.1,0.295,198000.0,6545.7,32400,975.0,0.164,25.7,17.453,-22.9,522.23,4.6997429219066544e+27,25.740023259239802,26.2610283474257,107616.870614718
095539.83+453217.0,95539.809,453217.68,0.71,0.259,23100.0,695.4,13300,399.2,0.576,24.64,16.807000000000002,-23.26,33.61,4.048637724018537e+27,24.677439678755693,25.189873940124997,9135.366002582901
100033.88+104723.7,100033.86,104723.93,0.37,0.226,233.0,13.9,233,13.9,1.000,22.51,16.244,-23.53,0.2,3.469049467172402e+27,22.5469867705304,23.051346349951896,66.4046300609272
100438.82+151057.3,100438.85,151056.87,0.61,0.21899999999999997,420.0,25.4,420,25.4,1.000,22.74,16.840999999999998,-22.86,0.63,3.348295393204788e+27,22.7721066850695,23.274725529296106,111.065081834747
100528.34+423037.5,100528.35,423036.99,0.52,0.257,114.0,6.1,114,6.1,1.000,22.33,16.736,-23.31,0.16,4.013033928452887e+27,22.363060378398398,22.8750113230724,44.2449119038622
100726.10+124856.2,100726.1,124856.2,0.0,0.24100000000000002,770000.0,23102.7,14237,429.8,0.018,26.09,15.184,-24.73,251.24,3.7304068077710974e+27,26.1292129792122,26.6372694765551,255930.17179381198
100744.54+500746.6,100744.55,500746.78,0.2,0.212,99.8,7.6,99.8.,7.6,1.000,22.08,16.8,-22.83,0.14,3.2283221417144267e+27,22.1162941348497,22.617162219024703,24.4351061867982
101000.68+300321.5,101000.685,300321.53,0.07,0.256,490.0,24.0,490,24.0,1.000,22.96,16.93,-23.11,0.8,3.995254840588519e+27,22.9924949167732,23.5042039146478,188.389167209849
101312.15+020416.4,101312.22,20416.09,1.09,0.22,21.5,8.6,21.5,8.6,1.000,21.45,16.792,-22.92,0.03,3.3654983243848963e+27,21.4857470812701,21.988615213036198,5.747344431687798
101325.43+221229.4,101325.42,221229.16,0.28,0.27399999999999997,365.0,17.8,365,17.8,1.000,22.89,17.474,-22.71,0.98,4.3175908127251993e+27,22.931985690349894,23.448020540243203,165.52841322920798
101719.02+151620.8,101719.08,151621.1,0.92,0.245,1508.0,46.1,1508,46.1,1.000,23.4,17.075,-22.87,2.81,3.800694276425442e+27,23.437337079252305,23.9463718755483,521.4634663097789
102101.20+190012.3,102101.28,190011.28,1.53,0.247,29.9,8.6,29.9,8.6,1.000,21.71,16.82,-23.14,0.04,3.835930715452609e+27,21.7426225610391,22.2521453287679,10.5438043941718
103421.71+605318.1,0.0,0.0,0.0,0.228,20.7,13.0,20.7,13.0,1.0,21.46,17.118,-22.67,0.04,3.5036931213046624e+27,21.504232330521106,22.0090874375785,6.02475581071481
103609.28+275019.9,103609.28,275020.68,0.78,0.282,29.3,5.6,29.3,5.6,1.000,21.83,17.436,-22.82,0.08,4.46240704566743e+27,21.8652158496311,22.3831537175528,14.2562640028298
104041.50+600239.3,104041.42,600239.6,0.67,0.297,19.7,6.3,19.7,6.3,1.000,21.7,17.771,-22.59,0.07,4.736474873828274e+27,21.7445865657656,22.2660607993182,10.8871150147165
104111.97+282805.0,104111.96,282804.87,0.19,0.21100000000000002,116.0,9.2,116,9.2,1.000,22.14,16.17,-23.45,0.09,3.211247233759334e+27,22.1770153395761,22.67763249007,28.08565144168289
104528.30+293344.7,104528.305,293344.5,0.21,0.293,179.0,11.4,179,11.4,1.000,22.65,17.581,-22.75,0.53,4.663069036257395e+27,22.689406585376396,23.2099418030865,95.67397425250941
104541.76+520235.5,104541.77,520235.5,0.09,0.284,195.0,11.6,195,11.6,1.000,22.66,16.76,-23.51,0.27,4.498758986459562e+27,22.6954299297511,23.2138416966579,96.5369799534419
105416.19+351124.1,105416.2,351124.02,0.15,0.205,119.0,10.6,119,10.6,1.000,22.13,16.783,-22.78,0.17,3.1091363645361137e+27,22.160036366038,22.659143549169396,26.9150729225071
105607.79+134443.6,105607.81,134443.55,0.3,0.284,512.0,24.4,512,24.4,1.000,23.08,17.677,-22.59,1.66,4.498758986459562e+27,23.1146652793644,23.6330770462712,253.471455057234
110052.34+283801.2,110052.34,283801.2,0.0,0.243,30.6,8.3,30.6,8.3,1.000,21.7,17.119,-22.81,0.06,3.765519590123334e+27,21.736581113226,22.24512715356889,10.3747864275395
110205.92+084435.7,110205.923,84435.17,0.53,0.294,68.7,8.3,68.7,8.3,1.000,22.24,16.344,-24.0,0.07,4.6813987118110095e+27,22.2769178636678,22.7976881073945,37.028841013626
110704.52+320630.0,110704.5,320630.13,0.29,0.243,800.0,29.4,800,29.4,1.000,23.12,17.069000000000006,-22.86,1.48,3.765519590123334e+27,23.1539496737364,23.6624957140793,271.23624647164297
111121.71+482045.9,111121.72,482045.86,0.11,0.281,8132.0,245.2,8132,245.2,1.000,24.27,17.645,-22.6,25.6,4.44425319379586e+27,24.3050048203656,24.822705461480695,3922.45051335721
111842.83+310317.4,111842.85,310317.4,0.26,0.27,134.0,9.7,134,9.7,1.000,22.44,17.444000000000006,-22.71,0.35,4.245539663587276e+27,22.4821804675758,22.9972593225388,58.62884440604029
112007.43+423551.3,112007.42,423551.33,0.12,0.22699999999999998,29.5,6.7,29.5,6.7,1.000,21.62,16.848,-22.93,0.04,3.4863634037634187e+27,21.653777188304,22.1583846325067,8.496433138661459
112439.18+420145.0,112439.22,420145.2,0.49,0.225,26.1,5.3,26.1,5.3,1.000,21.56,15.623,-24.14,0.01,3.4517513307388983e+27,21.5919293732695,22.0960408856537,7.3602556157302415
112503.68+251302.3,112503.723,251302.32,0.58,0.272,93.6,9.3,93.6,9.3,1.000,22.3,17.191,-22.98,0.19,4.2815353685325226e+27,22.333684784669103,22.849242012881604,41.6959645240021
112941.94+512050.5,112941.94,512050.69,0.19,0.23399999999999999,501.0,44.6,501,44.6,1.000,22.88,17.019000000000002,-22.83,0.89,3.608001753056804e+27,22.9135810696595,23.4199179317413,155.15648896168997
112952.99+221520.0,112952.98,221519.95,0.15,0.29100000000000004,17013.0,510.9,17013,510.9,1.000,24.62,17.65,-22.67,53.8,4.6264533607850427e+27,24.660487142845,25.1805517627253,8941.36398231777
112959.40+062952.9,112959.38,62952.96,0.3,0.24100000000000002,154.0,9.2,154,9.2,1.000,22.39,17.245,-22.67,0.34,3.7304068077710974e+27,22.430242974876197,22.9382994722191,51.1860343587646
113020.99+022211.5,113021.01,22211.95,0.54,0.24100000000000002,142.0,10.6,142,10.6,1.000,22.36,17.285,-22.63,0.32,3.7304068077710974e+27,22.3950105984228,22.9030670957657,47.1975122009394
113109.24+263207.8,113109.269,263208.01,0.44,0.244,892.0,31.7,892,31.7,1.000,23.17,16.755,-23.18,1.24,3.7830992047388573e+27,23.205270178412103,23.7140606949542,305.430713428202
113109.48+311405.4,113109.494,311405.17,0.3,0.29,176000.0,5286.4,122500,3675.2,0.696,25.63,16.111,-24.2,134.87,4.608167396917781e+27,25.671779025720898,26.191608073224202,91719.1634274716
113858.79+450338.5,113858.81,450338.33,0.27,0.3,122.0,10.6,122,10.6,1.000,22.51,17.475,-22.91,0.33,4.7916813619235613e+27,22.5465455557969,23.068722152705497,69.1152947323913
114646.02+371511.7,114645.92,371511.09,1.34,0.295,90.8,5.8,90.8,5.8,1.000,22.36,17.032,-23.32,0.16,4.6997429219066544e+27,22.4014439174993,22.922449005685202,49.35157500916721
114954.98+044812.8,114955.0,44812.73,0.31,0.27,515.0,20.8,515,20.8,1.000,23.03,17.3,-22.86,1.18,4.245539663587276e+27,23.0668828982522,23.5819617532152,225.327275142627
115523.74+150756.9,115523.75,150757.0,0.18,0.287,601.0,22.8,601,22.8,1.000,23.16,17.374000000000002,-22.92,1.47,4.5533972174953994e+27,23.194755411665,23.7138766447919,305.301302015479
115549.43+502117.2,115549.46,502117.07,0.32,0.284,53.4,5.6,53.4,5.6,1.000,22.09,17.456,-22.81,0.14,4.498758986459562e+27,22.132936575417197,22.651348342324,26.4362806641769
115558.97+593129.2,115558.97,593129.45,0.25,0.24100000000000002,293.0,14.1,293,14.1,1.000,22.67,17.278,-22.63,0.66,3.7304068077710974e+27,22.709589874393806,23.2176463717367,97.38641602023621
115753.20-031537.1,115753.202,-31536.99,0.32,0.215,604.0,21.7,604,21.7,1.000,22.88,16.801,-22.86,0.87,3.2796432128510435e+27,22.911900002799396,23.4135196476472,152.887387386905
115758.72-002220.9,115758.72,-2220.65,0.25,0.26,156.0,9.3,156,9.3,1.000,22.47,17.23,-22.84,0.34,4.0664623944135645e+27,22.510767983201198,23.0234436150773,62.272403271356794
115901.72+510630.7,115901.74,510630.56,0.24,0.29600000000000004,49.4,5.4,49.4,5.4,1.000,22.1,17.532,-22.82,0.14,4.718101648565631e+27,22.1404713994555,22.661711150823496,27.0746694102778
120233.08+022559.7,120233.09,22559.94,0.28,0.273,434.0,14.3,434,14.3,1.000,22.97,17.292,-22.89,0.99,4.299555632419666e+27,23.003546738944696,23.519342871796,195.07197609818695
120447.91+170256.8,120447.93,170256.45,0.45,0.298,214.0,11.9,214,11.9,1.000,22.74,17.084,-23.29,0.4,4.754862579753626e+27,22.783899577198,23.305608112216802,119.25047671781999
120629.36+281436.1,120629.35,281436.1,0.13,0.293,64.7,5.6,64.7,5.6,1.000,22.21,17.433,-22.9,0.17,4.663069036257395e+27,22.247457835065198,22.767993052775306,34.5815985147331
120944.81+023212.7,120944.8,23212.47,0.27,0.23800000000000002,107.0,11.5,107,11.5,1.000,22.22,17.276,-22.61,0.24,3.677854035646772e+27,22.259782620184,22.7671033217567,34.5108243593594
121018.34+015405.9,121018.33,15406.29,0.42,0.21600000000000003,35.7,4.7,35.7,4.7,1.000,21.65,16.914,-22.76,0.06,3.296782287564863e+27,21.688058616561197,22.1899283693107,9.1365109899429
121045.63+272536.4,121045.64,272536.48,0.16,0.23,141.0,10.9,141,10.9,1.000,22.31,16.979,-22.83,0.24,3.5383998224940833e+27,22.346042785827304,22.8513926141287,41.9029526110566
121224.89+185920.1,121224.9,185920.09,0.14,0.215,171.0,10.4,171,10.4,1.000,22.33,16.972,-22.69,0.29,3.2796432128510435e+27,22.3638591745705,22.8654788194183,43.2843431178237
121832.68+352255.8,121832.68,352255.74,0.06,0.24,586.0,21.9,586,21.9,1.000,22.97,17.266,-22.64,1.3,3.7128736779110224e+27,23.0065278272297,23.514339257137,192.837400648786
122011.88+020342.2,122011.88,20342.21,0.01,0.24,440000.0,13285.0,322000.0,9660.3,0.732,25.85,15.568,-24.33,204.48,3.7128736779110224e+27,25.882082887697802,26.3898943176051,144792.587517861
122018.43+064119.6,122018.45,64119.53,0.31,0.28600000000000003,392.0,14.8,392,14.8,1.000,22.97,17.455,-22.83,1.04,4.5351697887192536e+27,23.0056830328749,23.524567961180395,197.433103712019
122157.77+260457.7,122157.79,260457.81,0.29,0.278,310.0,16.8,310,16.8,1.000,22.84,17.249000000000002,-22.97,0.68,4.3898803310013073e+27,22.8754769207579,23.392464768727397,145.652109973621
122539.55+245836.3,122539.54,245836.66,0.39,0.268,107000.0,3216.2,9492,285.1,0.089,25.34,17.480999999999998,-22.66,289.59,4.2096038452203223e+27,25.377076096594802,25.891675824370605,45975.645557907
123341.68+310102.8,123341.64,310103.54,0.9,0.29100000000000004,61.6,6.2,61.6,6.2,1.000,22.18,16.771,-23.55,0.09,4.6264533607850427e+27,22.219286953003802,22.7393515728841,32.374538371293696
123341.80+644317.4,123341.537,644318.87,2.27,0.222,242.0,10.1,242,10.1,1.000,22.51,17.105,-22.63,0.46,3.39995191471294e+27,22.5459707797797,23.0493368742081,66.0980863093981
123532.83+410445.1,123532.84,410445.24,0.18,0.212,266.0,16.1,266,16.1,1.000,22.51,16.811,-22.82,0.39,3.2283221417144267e+27,22.542045230193402,23.042913314368402,65.1276377323485
123550.26+180242.8,123550.27,180242.82,0.14,0.254,673.0,20.8,673,20.8,1.000,23.09,17.069000000000006,-22.96,1.25,3.959742378097726e+27,23.1225587913041,23.6337833171442,253.88399806060295
124551.03+032128.3,124551.04,32128.23,0.17,0.22699999999999998,124.0,8.8,124,8.8,1.000,22.24,16.965999999999998,-22.81,0.21,3.4863634037634187e+27,22.277376857488107,22.7819843016908,35.7138206506473
124853.89+342429.4,124853.89,342429.68,0.28,0.271,92.2,5.9,92.2,5.9,1.000,22.29,17.552,-22.61,0.27,4.2635300394526325e+27,22.323479439532598,22.8387975752142,40.7051713119732
125100.44+660326.8,125100.56,660326.88,0.74,0.282,250.0,17.7,250,17.7,1.000,22.76,16.764,-23.49,0.35,4.46240704566743e+27,22.796288237949,23.3142261058707,121.64047783983601
125236.15+140213.9,125236.155,140214.06,0.18,0.266,236.0,10.7,236,10.7,1.000,22.68,17.453,-22.67,0.62,4.1737280610562565e+27,22.713170165444797,23.2272900097155,99.57309843392339
125343.71+122721.5,125343.736,122720.95,0.67,0.207,221.0,12.0,221,12.0,1.000,22.73,16.874000000000002,-22.71,0.34,3.143108699764595e+27,22.4383209391262,22.937932278488105,51.142775122612896
125807.45+232921.6,125807.459,232921.89,0.32,0.258,2961.0,90.1,2961,90.1,1.000,23.74,16.878,-23.18,4.6,4.030828229150262e+27,23.7814368542113,24.2936295532816,1160.06297236498
130223.12+140609.0,130223.127,140608.36,0.65,0.28600000000000003,44.1,6.0,44.1,6.0,1.000,22.02,16.859,-23.42,0.07,4.5351697887192536e+27,22.056835555322298,22.5757204836278,22.2112241676033
130416.99+020537.0,130417.0,20537.25,0.29,0.22899999999999998,215.0,11.1,215,11.1,1.000,22.49,17.046,-22.75,0.39,3.5210386006059455e+27,22.5249898963378,23.0300924646521,63.233100391788795
130456.91+395111.4,130456.91,395111.38,0.02,0.271,253.0,15.9,253,15.9,1.000,22.72,17.504,-22.66,0.7,4.2635300394526325e+27,22.761869039654798,23.277187175336397,111.696402840884
130756.57+010709.6,130756.57,10709.86,0.26,0.276,138.0,9.0,138,9.0,1.000,22.48,17.033,-23.17,0.25,4.3537058491286777e+27,22.5168071170518,23.033318839415198,63.70460849739101
130818.89+034437.2,130818.857,34437.07,0.51,0.228,57.3,5.4,57.3,5.4,1.000,21.91,16.599,-23.19,0.07,3.5036931213046624e+27,21.946416607031498,22.451271714088893,16.6772226064687
130843.86+190439.7,130843.82,190439.73,0.57,0.222,34.6,4.8,34.6,4.8,1.000,21.67,16.756,-22.98,0.05,3.39995191471294e+27,21.701231512592006,22.204597607020396,9.45038754671457
131204.70+064107.5,131204.7,64107.36,0.14,0.242,123.0,7.9,123,7.9,1.000,22.3,15.901,-24.02,0.08,3.7479554514909003e+27,22.336703815833893,22.8450051832161,41.2911705628957
132059.41+295728.1,132059.40300000002,295728.18,0.27,0.20600000000000002,112.0,8.7,112,8.7,1.000,22.11,16.918,-22.65,0.18,3.12611443822801e+27,22.138437631231493,22.6377969969882,25.6241228987953
132123.40+045930.7,132123.417,45930.54,0.3,0.242,163.0,7.7,163,7.7,1.000,22.42,16.97,-22.95,0.28,3.7479554514909003e+27,22.458986308798494,22.9672876761807,54.7191935101841
132136.86+355553.4,132136.81,355552.61,1.0,0.28300000000000003,81.0,5.6,81,5.6,1.000	22.27,17.018,-23.24,0.14,,4.480575649289873e+27,22.310362511455,22.828537421211198,39.7547871772208
132144.97+033055.7,132144.96,33055.71,0.15,0.26899999999999996,492.0,17.3,492,17.3,1.000,23.01,16.395,-23.75,0.49,4.22756425936187e+27,23.0433554020607,23.558194787820806,213.327478190913
132257.89+362300.0,132257.95,362300.47,0.87,0.295,153.0,14.7,153,14.7,1.000,22.59,17.65,-22.7,0.48,4.6997429219066544e+27,22.6280494997959,23.1490545879818,83.15849092956101
133053.27+311930.5,133053.37,311930.47,1.29,0.242,108.0,14.4,108,14.4,1.000,22.24,17.17,-22.75,0.22,3.7479554514909003e+27,22.2802224598815,22.7885238272637,36.2556619576686
133432.34+171146.9,133432.35,171147.13,0.27,0.265,104.0,7.7,104,7.7,1.000,22.32,16.951,-23.17,0.17,4.155812728013025e+27,22.353555141041603,22.867434759193696,43.479723221243106
133636.65+420934.1,133636.65,420934.08,0.02,0.223,986.0,34.6,986,34.6,1.000,23.13,16.836,-22.91,1.47,3.4172025352592287e+27,23.1604282187609,23.664042988980107,272.204312014548
134113.93-005315.0,134113.94,-5314.96,0.16,0.237,1926.0,60.0,1926,60.0,1.000,23.48,17.054000000000002,-22.82,3.52,3.6603675612246426e+27,23.510915542624893,24.017990582659106,614.953948395368
134206.56+050523.8,134206.551,50523.96,0.21,0.266,1618.0,81.9,1618,81.9,1.000,23.51,17.148,-22.98,3.22,4.1737280610562565e+27,23.549236679751,24.063356524021696,682.666412144524
134845.44+451809.5,134845.44,451809.21,0.29,0.27699999999999997,51.8,6.5,51.8,6.5,1.000,22.06,17.208,-23.0,0.11,4.37178566854114e+27,22.0948573478654,22.6116072262436,24.124550931841608
134854.76+430309.1,134854.79,430309.62,0.61,0.275,88.8,6.7,88.8,6.7,1.000,22.28,17.09,-23.11,0.17,4.335640891078846e+27,22.321729437063603,22.8380028166964,40.630749001621496
135326.12+362049.4,135326.13,362046.56,0.16,0.285,389.0,25.8,389,25.8,1.000,22.96,16.011,-24.26,0.27,4.51695703899142e+27,22.998851385316,23.5174998249769,194.245889184516
140336.43+174136.1,140336.44,174136.25,0.21,0.222,17890.0,537.2,17890,537.2,1.000,24.38,16.287,-23.44,16.12,3.39995191471294e+27,24.414765754366602,24.918131848795,4886.34200030997
140407.17+213321.6,140407.159,213321.85,0.29,0.261,1703.0,53.2,1703,53.2,1.000,23.52,16.48,-23.6,1.83,4.0843022217094237e+27,23.5526602532339,24.0655770641288,686.1658121586
140658.70+144238.3,140658.709,144238.41,0.17,0.266,144.0,7.4,144,7.4,1.000,22.46,16.629,-23.5,0.18,4.1737280610562565e+27,22.498620654570004,23.0127404988407,60.75646684104589
140808.19+430316.5,140808.199,430316.9,0.41,0.258,523.0,16.8,523,16.8,1.000,22.99,16.922,-23.14,0.85,4.030828229150262e+27,23.028500135689306,23.540692834759607,204.901362562281
140839.00+630600.5,140838.77,630602.04,2.2,0.261,39.1,6.1,39.1,6.1,1.000,21.88,16.95,-23.13,0.06,4.0843022217094237e+27,21.91362236266711,22.426539173562002,15.754012481149196
141116.72+194440.0,141116.72400000002,194440.27,0.28,0.23800000000000002,762.0,26.8,762,26.8,1.000,23.08,16.965999999999998,-22.92,1.28,3.677854035646772e+27,23.112353813838396,23.619674515411106,245.768674409648
141213.62+643538.9,141213.633,643539.04,0.16,0.28800000000000003,33.5,7.8,33.5,7.8,1.000,21.9,17.459,-22.84,0.09,4.5716393071908787e+27,21.944398587350502,22.463755941760894,17.1635829553698
142138.50+152045.9,142138.5,152045.88,0.02,0.231,180.0,7.4,180,7.4,1.000,22.42,17.164,-22.65,0.36,3.555776767813264e+27,22.456351345290894,22.9619482326366,54.0505657728205
142146.16+073908.3,142146.16,73908.4,0.1,0.231,102.0,5.9,102,5.9,1.000,22.18,16.887,-22.93,0.16,3.555776767813264e+27,22.2096790119495,22.7152758992952,30.6286539379307
142522.37+080327.1,142522.38,80327.02,0.17,0.23,138.0,6.5,138,6.5,1.000,22.3,16.803,-23.01,0.2,3.5383998224940833e+27,22.3367027595731,22.842052587874498,41.0114004278376
142613.31+195524.6,142613.329,195524.78,0.32,0.213,110.0,6.0,110,6.0,1.000,22.13,16.3,-23.34,0.1,3.2454131205074905e+27,22.1631425243573,22.6642613352577,27.2341200103166
142943.07+474726.2,142943.066,474726.17,0.05,0.221,127.0,6.3,127,6.3,1.000,22.23,16.49,-23.23,0.14,3.382717171324063e+27,22.2615449609453,22.7646621760005,34.3173850504021
144012.74+615633.0,144012.83,615632.68,0.73,0.275,935.0,34.5,935,34.5,1.000,23.31,16.952,-23.24,1.55,4.335640891078846e+27,23.344128082157503,23.8604014617903,427.812503564355
144202.82+433708.7,144202.837,433708.81,0.22,0.231,167.0,18.7,167,18.7,1.000,22.39,16.849,-22.97,0.25,3.555776767813264e+27,22.4237953113352,22.929392198680898,50.14691380034161
144302.59+404525.1,144302.459,404525.66,1.61,0.24600000000000002,78.0,11.2,78,11.2,1.000,22.12,16.636,-23.32,0.1,3.8183047862888625e+27,22.1550456504593,22.6643245303793,27.238083193873802
